,company,year,price,kms_covered,fuel_type
0,Mahindra,2006,425000,40,Diesel
1,Hyundai,2014,325000,28000,Petrol
2,Ford,2014,575000,36000,Diesel
3,Ford,2012,175000,41000,Diesel
4,Hyundai,2013,190000,25000,Petrol
5,Ford,2016,830000,24530,Diesel
6,Maruti,2015,250000,60000,Petrol
7,Skoda,2010,182000,60000,Petrol
8,Maruti,2015,315000,30000,Petrol
9,Hyundai,2014,415000,32000,Petrol
10,Mahindra,2015,320000,48660,Diesel
11,Hyundai,2007,80000,45000,Petrol
12,Mahindra,2006,425000,40,Diesel
13,Audi,2017,1000000,4000,Petrol
14,Audi,2014,500000,16934,Diesel
15,Mahindra,2016,350000,43000,Diesel
16,Maruti,2014,160000,35550,Petrol
17,Mahindra,2016,350000,43000,Diesel
18,Mahindra,2016,310000,39522,Diesel
19,Maruti,2015,75000,39000,Petrol
20,Hyundai,2012,100000,55000,Petrol
21,Hyundai,2012,100000,55000,Petrol
22,Hyundai,2012,100000,55000,Petrol
23,Maruti,2017,190000,72000,Petrol
24,Maruti,2016,290000,15975,Diesel
25,Maruti,2008,95000,70000,Petrol
26,Mahindra,2017,180000,23452,Diesel
27,Maruti,2014,385000,35522,Diesel
28,Mahindra,2015,250000,48508,Diesel
29,Maruti,2017,180000,15487,Petrol
30,Maruti,2013,105000,39000,Petrol
31,Maruti,2013,105000,39000,Petrol
32,Toyota,2012,650000,82000,Diesel
33,Renault,2018,689999,20000,Diesel
34,Skoda,2012,448000,68000,Diesel
35,Maruti,2017,549000,32000,Diesel
36,Renault,2012,501000,38000,Diesel
37,Renault,2013,489999,27000,Diesel
38,Honda,2011,280000,33000,Petrol
39,Maruti,2015,250000,60000,Petrol
40,Maruti,2013,349999,46000,Diesel
41,Honda,2013,284999,46000,Diesel
42,Honda,2015,345000,36000,Diesel
43,Honda,2015,499999,55000,Petrol
44,Datsun,2017,235000,16000,Petrol
45,Maruti,2010,249999,36000,Petrol
46,Mitsubishi,2015,1475000,47000,Diesel
47,Mahindra,2017,180000,23452,Diesel
48,Maruti,2014,385000,35522,Diesel
49,Mahindra,2015,250000,48508,Diesel
50,Maruti,2017,180000,15487,Petrol
51,Maruti,2013,105000,39000,Petrol
52,Maruti,2013,105000,39000,Petrol
53,Mahindra,2015,395000,35000,Diesel
54,Maruti,2017,220000,30874,Petrol
55,Honda,2017,170000,15000,Diesel
56,Maruti,2013,85000,29685,Petrol
57,Ford,2012,175000,41000,Diesel
58,Hyundai,2013,190000,25000,Petrol
59,Tata,2017,200000,130000,Diesel
60,Ford,2016,830000,24530,Diesel
61,Tata,2017,200000,130000,Diesel
62,Mahindra,2012,570000,19000,Diesel
63,Volkswagen,2014,315000,60000,Petrol
64,Skoda,2010,182000,60000,Petrol
65,Maruti,2015,315000,30000,Petrol
66,Chevrolet,2010,110000,41000,Petrol
67,Renault,2012,501000,35000,Diesel
68,Honda,2015,448999,54000,Petrol
69,Mini,2013,1891111,13000,Petrol
70,Datsun,2017,235000,16000,Petrol
71,Skoda,2011,159500,38200,Diesel
72,Honda,2015,344999,22000,Petrol
73,Honda,2015,344999,22000,Petrol
74,Renault,2014,449999,50000,Diesel
75,Mini,2013,1891111,13500,Petrol
76,Mahindra,2015,865000,30000,Diesel
77,Mahindra,2014,699000,50000,Diesel
78,Mahindra,2013,375000,20000,Diesel
79,Ford,2017,489999,39000,Petrol
80,Honda,2012,224999,30000,Petrol
81,Volkswagen,2019,1200000,3600,Diesel
82,Hyundai,2009,195000,32000,Petrol
83,Toyota,2010,351000,38000,Diesel
84,Hyundai,2008,160000,45000,Petrol
85,Toyota,2009,240000,35000,Petrol
86,Honda,2005,90000,50000,Petrol
87,Hyundai,2014,415000,32000,Petrol
88,Skoda,2011,155000,45863,Diesel
89,BMW,2011,600000,60500,Petrol
90,Maruti,2011,189500,12500,Petrol
91,Toyota,2013,350000,60000,Diesel
92,Ford,2012,210000,35000,Diesel
93,Maruti,2014,390000,35000,Petrol
94,Chevrolet,2012,135000,45000,Diesel
95,BMW,2009,1600000,35000,Petrol
96,Mahindra,2013,701000,38000,Diesel
97,Hyundai,2014,265000,18000,Petrol
98,Hyundai,2015,525000,35000,Diesel
99,Maruti,2013,372000,13349,Petrol
100,Maruti,2016,635000,29000,Petrol
101,Ford,2014,550000,44000,Diesel
102,Maruti,2016,575000,29000,Petrol
103,Maruti,2013,485000,42000,Diesel
104,Maruti,2012,155000,14000,Petrol
105,Hyundai,2014,345000,49000,Diesel
106,Honda,2014,325000,42000,Petrol
107,Hyundai,2012,329500,36200,Diesel
108,Ford,2014,195000,50000,Diesel
109,Maruti,2015,251111,55000,Petrol
110,Maruti,2014,569999,45000,Petrol
111,Maruti,2007,69999,51000,Petrol
112,Maruti,2014,299999,19000,Petrol
113,Maruti,2009,220000,46000,Petrol
114,Maruti,2013,399999,33000,Diesel
115,Maruti,2013,372000,13349,Petrol
116,Maruti,2015,450000,104000,Diesel
117,Toyota,2014,270000,55000,Petrol
118,Hyundai,2011,350000,33333,Diesel
119,Chevrolet,2012,158400,33600,Petrol
120,Maruti,2017,350000,5600,Petrol
121,Nissan,2011,179000,41000,Petrol
122,Maruti,2007,125000,70000,Petrol
123,Maruti,2018,200000,7500,Petrol
124,Honda,2013,299000,45000,Diesel
125,Maruti,2015,220000,38000,Petrol
126,Chevrolet,2015,150000,30000,Petrol
127,Honda,2010,285000,35000,Petrol
128,Ford,2016,830000,24330,Diesel
129,Hyundai,2009,210000,65480,Petrol
130,Maruti,2013,340000,41000,Petrol
131,Tata,2006,90000,20000,Petrol
132,Hindustan,2000,70000,200000,Diesel
133,Toyota,2010,289999,70000,Petrol
134,Toyota,2012,349999,59000,Petrol
135,Toyota,2012,849999,99000,Diesel
136,Volkswagen,2014,749999,46000,Diesel
137,Volkswagen,2015,399999,2800,Petrol
138,Volkswagen,2014,274999,32000,Petrol
139,Mahindra,2015,984999,22000,Diesel
140,Renault,2014,449999,50000,Diesel
141,Honda,2015,344999,22000,Petrol
142,Nissan,2012,224999,45000,Petrol
143,Hyundai,2018,599999,21000,Petrol
144,Renault,2016,244999,11000,Petrol
145,Renault,2013,399999,41000,Diesel
146,Ford,2017,489999,39000,Petrol
147,Renault,2014,474999,50000,Diesel
148,Mahindra,2011,499999,66000,Diesel
149,Maruti,2018,310000,3000,Petrol
150,Chevrolet,2010,85000,45000,Petrol
151,Datsun,2016,245000,7000,Petrol
152,Maruti,2010,189500,38500,Diesel
153,Fiat,2012,169500,37200,Diesel
154,Maruti,2010,159500,43200,Diesel
155,Toyota,2013,275000,24800,Petrol
156,Hyundai,2014,370000,60000,Diesel
157,Hyundai,2010,168000,45872,Petrol
158,Chevrolet,2011,150000,40000,Diesel
159,Chevrolet,2011,145000,45000,Diesel
160,Chevrolet,2012,98500,38000,Diesel
161,Mahindra,2014,699000,50000,Diesel
162,Tata,2011,85000,11400,Diesel
163,Toyota,2015,575000,42000,Petrol
164,Honda,2014,549000,39000,Petrol
165,Maruti,2011,209000,47000,Diesel
166,Hyundai,2013,185000,27000,Petrol
167,Mahindra,2015,900000,97200,Diesel
168,Mahindra,2014,699999,52000,Diesel
169,Honda,2012,224999,30000,Petrol
170,Ford,2011,274999,55000,Diesel
171,Honda,2013,284999,46000,Diesel
172,Honda,2015,599999,30000,Diesel
173,Maruti,2012,199999,44000,Petrol
174,Honda,2014,544999,45000,Diesel
175,Hyundai,2009,199000,31000,Petrol
176,Tata,2016,320000,175430,Diesel
177,Hyundai,2015,540000,38000,Diesel
178,Mahindra,2013,340000,37000,Diesel
179,Fiat,2008,75000,65000,Petrol
180,Skoda,2011,159500,38200,Diesel
181,Mini,2013,1891111,13000,Petrol
182,Hyundai,2005,49000,7500,Petrol
183,Maruti,2016,700000,3350,Petrol
184,Maruti,2000,55000,60000,Petrol
185,Honda,2015,448999,54000,Petrol
186,Hyundai,2017,895000,32000,Petrol
187,Mahindra,2007,355000,75000,Diesel
188,Mahindra,2012,565000,62000,Diesel
189,Toyota,2006,365000,73000,Diesel
190,Maruti,2011,145000,41000,Petrol
191,Maruti,2011,210000,35000,Petrol
192,Tata,2013,40000,2200,Petrol
193,Maruti,2013,125000,39000,Petrol
194,Maruti,2009,135000,45000,Petrol
195,Maruti,2006,135000,45000,Petrol
196,Tata,2012,285000,65000,Diesel
197,Maruti,2010,145000,54870,Petrol
198,Maruti,2010,135000,34580,Petrol
199,Volkswagen,2009,450000,97000,Diesel
200,Renault,2015,375000,25000,Diesel
201,Mahindra,2013,375000,20000,Diesel
202,Hyundai,2014,365000,20000,Petrol
203,Hyundai,2015,500000,18000,Petrol
204,Mahindra,2012,400000,35000,Diesel
205,Mahindra,2019,390000,60,Diesel
206,Renault,2012,501000,35000,Diesel
207,Mahindra,2013,330000,80200,Diesel
208,Force,2015,580000,3200,Diesel
209,Maruti,2012,265000,46000,Diesel
210,Mahindra,2019,379000,0,Diesel
211,Maruti,2015,219000,5000,Petrol
212,Mahindra,2018,385000,588,Diesel
213,Toyota,2011,275000,36000,Diesel
214,Volkswagen,2015,330000,38000,Diesel
215,Honda,2008,110000,45000,Petrol
216,Maruti,2006,80000,71200,Petrol
217,Honda,2016,519000,52000,Diesel
218,Mahindra,2016,730000,29000,Diesel
219,Mitsubishi,2015,1475000,47000,Diesel
220,Audi,2009,699000,47000,Petrol
221,Mercedes,2015,2000000,20000,Diesel
222,Land,2015,2100000,30000,Diesel
223,Renault,2017,340000,5000,Petrol
224,Tata,2014,390000,35000,Diesel
225,Mercedes,2014,1400000,31000,Petrol
226,Datsun,2016,245000,7000,Petrol
227,Tata,2016,320000,175430,Diesel
228,Tata,2016,320000,175400,Diesel
229,Honda,2016,450000,41000,Petrol
230,Honda,2014,311000,33000,Petrol
231,Honda,2013,284999,46000,Diesel
232,Honda,2012,399999,45000,Petrol
233,Honda,2015,599999,39000,Diesel
234,Honda,2015,344999,22000,Petrol
235,Audi,2009,699000,47000,Petrol
236,Force,2015,580000,3200,Diesel
237,Mahindra,2015,855000,30000,Diesel
238,Hyundai,2015,535000,37000,Diesel
239,Mini,2013,1891111,13000,Petrol
240,Maruti,2017,699000,14000,Petrol
241,Chevrolet,2013,375000,55000,Diesel
242,Honda,2013,284999,46000,Diesel
243,Hyundai,2012,178000,30000,Petrol
244,Tata,2013,300000,50000,Diesel
245,Maruti,2003,90000,45000,Petrol
246,Maruti,2006,95000,45000,Petrol
247,Maruti,2015,255000,9300,Petrol
248,Chevrolet,2013,245000,55000,Diesel
249,Hyundai,2012,329500,36200,Diesel
250,Ford,2014,195000,50000,Diesel
251,Maruti,2015,251111,55000,Petrol
252,Maruti,2014,569999,45000,Petrol
253,Maruti,2007,69999,51000,Petrol
254,Maruti,2014,299999,19000,Petrol
255,Maruti,2009,220000,46000,Petrol
256,Maruti,2013,399999,33000,Diesel
257,Maruti,2010,249999,36000,Petrol
258,Maruti,2015,289999,22000,Petrol
259,Mini,2013,1891111,13500,Petrol
260,Nissan,2015,499999,60000,Diesel
261,Renault,2013,489999,27000,Diesel
262,Renault,2014,489999,59000,Diesel
263,Renault,2015,549999,19000,Diesel
264,Maruti,2013,380000,30000,Petrol
265,Renault,2018,325000,15000,Petrol
266,Maruti,2003,57000,56758,Petrol
267,Renault,2018,349999,10000,Petrol
268,Renault,2018,689999,20000,Diesel
269,Renault,2014,349999,49000,Diesel
270,Hyundai,2014,410000,41000,Petrol
271,Maruti,2011,225000,45000,Petrol
272,Chevrolet,2010,120000,43000,Petrol
273,Tata,2016,320000,175430,Diesel
274,Hyundai,2000,59000,56450,Petrol
275,Hyundai,2015,540000,38000,Diesel
276,Chevrolet,2010,80000,56000,Petrol
277,Mahindra,2013,340000,37000,Diesel
278,Fiat,2008,75000,65000,Petrol
279,Chevrolet,2015,220000,32700,Petrol
280,Skoda,2011,159500,38200,Diesel
281,Ford,2016,599000,30000,Diesel
282,Hyundai,2006,80000,56000,Petrol
283,Mahindra,2016,675000,9000,Diesel
284,Mini,2013,1891111,13000,Petrol
285,Mini,2013,1891111,13000,Petrol
286,Tata,2008,150000,11000,Petrol
287,Mini,2013,1891111,13000,Petrol
288,Tata,2009,72500,46000,Diesel
289,Maruti,2019,610000,73,Petrol
290,Mahindra,2004,230000,160000,Diesel
291,Honda,2009,175000,58559,Petrol
292,Mahindra,2015,855000,30000,Diesel
293,Chevrolet,2013,375000,55000,Diesel
294,Ford,2014,520000,57000,Diesel
295,Maruti,2015,524999,50000,Diesel
296,Honda,2014,299999,37000,Petrol
297,Maruti,2012,299999,40000,Petrol
298,Honda,2011,284999,55000,Petrol
299,Mahindra,2007,220000,170000,Diesel
300,Maruti,2014,424999,55000,Diesel
301,Honda,2015,644999,39000,Petrol
302,Honda,2014,399999,44000,Petrol
303,Toyota,2009,199999,65000,Petrol
304,Honda,2014,584999,39000,Petrol
305,Skoda,2012,349999,44000,Diesel
306,Renault,2015,449999,49000,Diesel
307,Maruti,2018,799999,9000,Diesel
308,Maruti,2015,444999,45000,Diesel
309,Mahindra,2014,649999,47000,Diesel
310,Hyundai,2012,444999,40000,Diesel
311,Maruti,2016,689999,29000,Diesel
312,Maruti,2016,344999,15000,Petrol
313,Mahindra,2015,944999,45000,Diesel
314,Honda,2014,274999,35000,Petrol
315,Mahindra,2013,689999,80000,Diesel
316,Mahindra,2013,574999,68000,Diesel
317,Skoda,2013,374999,50000,Diesel
318,Volkswagen,2010,199999,60000,Diesel
319,Hyundai,2016,549999,9000,Petrol
320,Tata,2012,130000,72000,Diesel
321,Chevrolet,2013,210000,60000,Petrol
322,Renault,2012,501000,38000,Diesel
323,Hyundai,2013,401000,45000,Diesel
324,Audi,2012,1350000,40000,Diesel
325,Hyundai,2013,600000,20000,Petrol
326,Mahindra,2013,610000,35000,Diesel
327,Mahindra,2016,400000,20000,Diesel
328,Renault,2015,375000,25000,Diesel
329,Mahindra,2013,375000,20000,Diesel
330,Hyundai,2014,365000,20000,Petrol
331,Hyundai,2015,500000,18000,Petrol
332,Mahindra,2012,400000,35000,Diesel
333,Hyundai,2017,524999,6821,Petrol
334,Hyundai,2014,449999,23000,Petrol
335,Hyundai,2014,174999,14000,Petrol
336,Hyundai,2012,244999,38000,Petrol
337,Hyundai,2015,574999,35000,Diesel
338,Datsun,2017,244999,22000,Petrol
339,Toyota,2011,239999,41000,Petrol
340,Hyundai,2010,99999,45000,Petrol
341,Hyundai,2014,489999,44000,Diesel
342,Maruti,2013,324999,45000,Diesel
343,Toyota,2011,1074999,52000,Diesel
344,Hyundai,2012,230000,34000,Petrol
345,Mahindra,2018,699000,1800,Diesel
346,Mahindra,2015,1000000,15000,Diesel
347,Honda,2010,240000,400000,Petrol
348,Chevrolet,2009,110000,44000,Petrol
349,Mahindra,2019,390000,60,Diesel
350,Renault,2012,501000,35000,Diesel
351,Mahindra,2016,1130000,72000,Diesel
352,Tata,2014,250000,40000,Diesel
353,Mahindra,2013,330000,80200,Diesel
354,Force,2015,580000,3200,Diesel
355,Skoda,2013,340000,48000,Diesel
356,Tata,2011,120000,90000,Diesel
357,Maruti,2015,265000,12000,Petrol
358,Maruti,2012,265000,46000,Diesel
359,Maruti,2003,85000,69900,Petrol
360,Mahindra,2019,379000,0,Diesel
361,Hyundai,2011,175000,45000,Petrol
362,Maruti,2015,219000,5000,Petrol
363,Maruti,2016,350000,166000,Diesel
364,Honda,2008,149000,42000,Petrol
365,Mahindra,2018,385000,588,Diesel
366,Mahindra,2006,425000,122,Diesel
367,Chevrolet,2017,150000,62000,Diesel
368,Honda,2010,225000,70000,Petrol
369,Hyundai,2014,375000,36000,Petrol
370,Toyota,2012,770000,0,Diesel
371,Maruti,1995,30000,55000,Petrol
372,Toyota,2011,275000,36000,Diesel
373,Volkswagen,2015,330000,38000,Diesel
374,Maruti,2014,335000,55000,Diesel
375,Hyundai,2015,450000,20000,Diesel
376,Maruti,2012,225000,40000,Petrol
377,Maruti,2004,80000,50000,Petrol
378,Tata,2016,130000,104000,Diesel
379,Volkswagen,2011,245000,65000,Diesel
380,Mercedes,2002,399000,41000,Petrol
381,Maruti,2013,450000,90000,Diesel
382,Honda,2000,65000,80000,Petrol
383,Hyundai,2006,75000,46000,Petrol
384,Maruti,2001,70000,70000,Petrol
385,Hyundai,2017,190000,36469,Diesel
386,Hyundai,2018,600000,7800,Petrol
387,Volkswagen,2011,245000,65000,Diesel
388,Maruti,2017,240000,60000,Petrol
389,Maruti,2011,155000,32000,Petrol
390,Honda,2009,169999,24695,Petrol
391,Hyundai,2017,450000,15141,Petrol
392,Maruti,2001,40000,40000,Petrol
393,Mahindra,2012,165000,65000,Diesel
394,Maruti,2014,270000,22000,Petrol
395,Hyundai,2016,280000,59910,Diesel
396,Mahindra,2012,560000,100000,Diesel
397,Hyundai,2016,950000,25000,Petrol
398,Hyundai,2013,310000,35000,Petrol
399,Renault,2015,715000,65000,Diesel
400,Hyundai,2014,340000,35000,Petrol
401,Honda,2012,235000,33000,Petrol
402,Mahindra,2017,610000,68000,Diesel
403,Chevrolet,2010,95000,23000,Petrol
404,Mahindra,2018,1000000,4500,Diesel
405,Maruti,2015,220000,129000,Diesel
406,Nissan,2019,1200000,300,Diesel
