,company,year,price,kms_covered,fuel_type
407,Maruti,2015,230000,5000,Petrol
408,Ford,2001,45000,65000,Petrol
409,Toyota,2010,940000,131000,Diesel
410,Tata,2010,155555,111111,Petrol
411,Mercedes,2013,1500000,14000,Petrol
412,Chevrolet,2016,210000,22000,Diesel
413,Ford,2013,495000,38000,Diesel
414,Tata,2016,125000,70000,Diesel
415,Hyundai,2010,195000,36000,Petrol
416,Volkswagen,2015,550000,34000,Diesel
417,Renault,2015,270000,43000,Petrol
418,Ford,2014,500000,40000,Diesel
419,Honda,2016,240000,160000,Diesel
420,Hyundai,2017,800000,12000,Petrol
421,BMW,2011,1299000,49000,Diesel
422,Skoda,2011,530000,68000,Petrol
423,Audi,2013,1499000,37000,Diesel
424,Mahindra,2012,220000,59466,Diesel
425,Mahindra,2015,900000,97200,Diesel
426,Ford,2012,250000,99000,Diesel
427,Maruti,2018,395000,25500,Petrol
428,Mahindra,2009,130000,66000,Petrol
429,Tata,2010,32000,44005,Petrol
430,Mahindra,2016,540000,35000,Diesel
431,Mahindra,2016,540000,35000,Diesel
432,Hyundai,2015,405000,28000,Petrol
433,Hyundai,2015,400000,30000,Petrol
434,Honda,2017,760000,4000,Petrol
435,Maruti,2016,500000,28000,Petrol
436,Ford,2011,175000,75000,Petrol
437,Mahindra,2015,900000,97200,Diesel
438,Honda,2017,750000,3000,Petrol
439,Hyundai,2015,419000,20000,Petrol
440,Maruti,2004,90000,50000,Petrol
441,Hyundai,2018,140000,2110,Petrol
442,Mitsubishi,2015,1540000,43222,Petrol
443,Hyundai,2008,275000,100200,Petrol
444,Toyota,2003,150000,100000,Petrol
445,Maruti,2011,230000,65,Petrol
446,Tata,2015,123000,100000,Diesel
447,Mahindra,2015,900000,97200,Diesel
448,Mahindra,2015,900000,97200,Diesel
449,Hyundai,2016,300000,140000,Diesel
450,Honda,2015,499999,55000,Petrol
451,Hyundai,2009,165000,48000,Petrol
452,Maruti,2016,498000,22000,Petrol
453,Tata,2018,480000,103553,Diesel
454,Maruti,2017,488000,80000,Diesel
455,Tata,2014,250000,99000,Diesel
456,Toyota,2010,220000,58000,Petrol
457,Maruti,2013,290000,70000,LPG
458,Toyota,2015,1525000,120000,Diesel
459,Mahindra,2013,548900,49800,Diesel
460,Tata,2019,650000,100,Diesel
461,Maruti,2001,55000,81876,Petrol
462,Maruti,2015,550000,75000,Petrol
463,Maruti,2004,90000,50000,Petrol
464,Honda,2014,399000,44000,Diesel
465,Maruti,2016,730000,55000,Diesel
466,Maruti,2017,725000,36000,Diesel
467,Hyundai,2016,195000,56000,Diesel
468,Maruti,2007,130000,62000,Petrol
469,Toyota,2015,1525000,120000,Diesel
470,Maruti,2014,190000,6020,Petrol
471,Honda,2013,250000,55700,Diesel
472,Tata,2005,80000,42000,Petrol
473,Hyundai,2003,120000,50000,Petrol
474,Maruti,2010,149000,35000,Petrol
475,Maruti,2014,250000,18500,Petrol
476,Maruti,2007,120000,7000,Petrol
477,Honda,2017,450000,11000,Petrol
478,Maruti,2003,99999,53000,Petrol
479,Maruti,2008,135000,23000,Petrol
480,Maruti,2016,225000,35500,Diesel
481,Maruti,2010,99000,22134,Petrol
482,Renault,2019,370000,1000,Petrol
483,Tata,2010,52000,9000,Petrol
484,Jaguar,2016,2800000,8500,Petrol
485,Hyundai,2014,190000,35000,Petrol
486,Honda,2014,499000,22000,Petrol
487,Hindustan,2002,90000,25000,Diesel
488,Maruti,2010,149000,40000,Petrol
489,Hyundai,2017,400000,20000,Petrol
490,Hyundai,2016,120000,87000,Petrol
491,Maruti,2015,250000,55000,Petrol
492,Maruti,2017,375000,23000,Petrol
493,Honda,2014,381000,6000,Petrol
494,Maruti,2013,180000,65000,Petrol
495,Maruti,2016,580000,25000,Diesel
496,Maruti,2015,278000,39000,Petrol
497,Hyundai,2016,1000000,8000,Petrol
498,Mahindra,2013,690000,75000,Diesel
499,Maruti,2012,480000,51000,Diesel
500,Mitsubishi,2006,85000,50000,Petrol
501,Maruti,2001,40000,75000,Petrol
502,Maruti,2015,90000,55800,Petrol
503,Hyundai,2015,340000,53000,Petrol
504,Hyundai,2018,260000,25000,Petrol
505,Ford,2009,250000,56400,Petrol
506,Maruti,2010,180000,72160,Diesel
507,Hyundai,2012,350000,10000,Diesel
508,Maruti,2006,90001,48000,Petrol
509,Maruti,2007,115000,36000,Petrol
510,Audi,2012,1599000,11500,Diesel
511,Maruti,2003,130000,133000,Petrol
512,Maruti,2009,159000,27000,Petrol
513,Maruti,2009,160000,35000,Petrol
514,Maruti,2010,110000,55000,Petrol
515,Maruti,2016,425000,40000,Petrol
516,Hyundai,2019,900000,2000,Petrol
517,Maruti,2009,150000,45000,Petrol
518,Hyundai,2009,110000,20000,Petrol
519,Hyundai,2000,51999,88000,Petrol
520,Hyundai,2009,115000,20000,Petrol
521,Chevrolet,2012,215000,65422,Diesel
522,Ford,2017,580000,10000,Petrol
523,Maruti,2013,380000,35000,Petrol
524,Hyundai,2013,350000,117000,Diesel
525,Tata,2005,35000,150000,Diesel
526,BMW,2011,1150000,72000,Diesel
527,Hyundai,2010,300000,10750,Petrol
528,Honda,2009,269000,55000,Petrol
529,Tata,2013,60000,6800,Petrol
530,Chevrolet,2014,400000,41000,Diesel
531,Hyundai,2015,430000,73000,Diesel
532,Maruti,2011,140000,65000,Diesel
533,Mahindra,2018,1299000,40000,Diesel
534,Maruti,2014,199000,37000,Petrol
535,Hyundai,2006,90000,55000,Petrol
536,Force,2013,550000,140000,Diesel
537,Maruti,2019,265000,9800,Petrol
538,Chevrolet,2011,100000,27000,Petrol
539,Hyundai,2009,215000,27000,Petrol
540,Toyota,2012,380000,20000,Diesel
541,Renault,2013,401919,57923,Diesel
542,Chevrolet,2014,490000,30201,Diesel
543,Maruti,2017,280000,6200,Petrol
544,BMW,2009,650000,37518,Petrol
545,Toyota,2014,160000,24652,Petrol
546,Mahindra,2004,424000,383,Diesel
547,Chevrolet,2016,225000,95000,Diesel
548,Chevrolet,2011,350000,35000,Diesel
549,Jeep,2015,950000,3528,Diesel
550,Maruti,2013,485000,52500,Diesel
551,Hyundai,2010,205000,47900,Diesel
552,Maruti,2012,160000,14000,Petrol
553,Maruti,2018,310000,37000,Petrol
554,Tata,2017,180000,90000,Diesel
555,Mahindra,2013,549900,52800,Diesel
556,Tata,2016,150000,104000,Diesel
557,Hyundai,2011,175000,30000,Petrol
558,Tata,2014,95000,195000,Diesel
559,Tata,2016,230000,104000,Diesel
560,Tata,2016,230000,104000,Diesel
561,Tata,2004,180000,70000,Diesel
562,Hyundai,2015,400000,43000,Diesel
563,Hyundai,2013,185000,23000,Petrol
564,Renault,2015,385000,51000,Diesel
565,Maruti,2009,90000,62000,Petrol
566,Tata,2010,32000,48008,Petrol
567,Renault,2013,435000,39000,Diesel
568,Maruti,2010,225000,40000,Petrol
569,Maruti,2006,189700,48247,Petrol
570,Maruti,2012,389700,39000,Diesel
571,Maruti,2014,365000,23000,Petrol
572,Maruti,2017,360000,9400,Petrol
573,Hyundai,2010,210000,50000,Petrol
574,Hyundai,2009,170000,75000,Petrol
575,Tata,2017,380000,70000,Diesel
576,Mahindra,2009,295000,64000,Diesel
577,Toyota,2010,185000,55000,Petrol
578,Tata,2014,160000,200000,Diesel
579,Renault,2018,290000,2137,Petrol
580,Tata,2013,100000,30000,Diesel
581,Maruti,2014,315000,44000,Petrol
582,Skoda,2006,114990,65000,Diesel
583,Maruti,2012,120000,160000,LPG
584,Chevrolet,2011,125000,56000,Diesel
585,Tata,2012,210000,75000,Diesel
586,Hyundai,2018,855000,42000,Diesel
587,Tata,2012,210000,75000,Diesel
588,Mahindra,2007,260000,56000,Diesel
589,Maruti,2002,95000,10544,Petrol
590,Maruti,2011,255000,64000,Petrol
591,Mahindra,2008,300000,70000,Diesel
592,Hyundai,2014,340000,25000,Petrol
593,Hyundai,2017,550000,15000,Petrol
594,Ford,2003,60000,50000,Petrol
595,Toyota,2011,750000,147000,Diesel
596,Nissan,2011,230000,52000,Petrol
597,Chevrolet,2012,130000,90001,Diesel
598,Maruti,2017,270000,21000,Petrol
599,Maruti,2012,280000,48006,Diesel
600,Maruti,2012,280000,48006,Diesel
601,Maruti,2012,280000,48006,Diesel
602,Toyota,2012,600000,80000,Diesel
603,Maruti,2010,190000,74000,Diesel
604,Hyundai,2015,500000,22000,Petrol
605,Mahindra,2016,1065000,41000,Diesel
606,Volkswagen,2015,350000,25000,Diesel
607,Toyota,2012,350000,85000,Diesel
608,Mahindra,2016,540000,29500,Diesel
609,Hyundai,2015,470000,30000,Petrol
610,Hyundai,2014,179000,57000,Petrol
611,Maruti,2003,48000,60000,Petrol
612,Maruti,2016,650000,50000,Petrol
613,Hyundai,2013,190000,39700,Petrol
614,Hyundai,2012,500000,65000,Petrol
615,Maruti,2010,270000,67000,Diesel
616,Maruti,2008,125000,46000,Petrol
617,Hyundai,2012,188000,38000,Petrol
618,Hyundai,2016,380000,27000,Petrol
619,Hyundai,2011,365000,43000,Diesel
620,Ford,2014,465000,47000,Petrol
621,Hyundai,2011,240000,42000,Petrol
622,Chevrolet,2016,179999,19336,Diesel
623,Tata,2015,140000,60105,Diesel
624,Jaguar,2013,2190000,29000,Diesel
625,Audi,2014,2390000,34000,Diesel
626,BMW,2011,1075000,35000,Diesel
627,Maruti,2015,475000,22000,Petrol
628,BMW,2012,1025000,41000,Diesel
629,Maruti,2016,615000,21000,Diesel
630,Maruti,2013,475000,48000,Diesel
631,Maruti,2016,270000,38000,Petrol
632,Honda,2014,475000,34000,Diesel
633,Volkswagen,2011,240000,45933,Petrol
634,Honda,2005,120000,68000,Petrol
635,Audi,2016,1900000,44000,Diesel
636,Mahindra,2017,360000,35000,Diesel
637,Tata,2018,450000,102563,Diesel
638,Mahindra,2015,900000,28600,Diesel
639,Maruti,2017,650000,41800,Diesel
640,Tata,2014,275000,116000,Diesel
641,Maruti,2009,210000,59000,Petrol
642,Mahindra,2004,175000,58000,Diesel
643,Maruti,2009,85000,45000,Petrol
644,Mitsubishi,2015,1490000,42590,Diesel
645,Renault,2014,800000,7400,Diesel
646,Volkswagen,2009,450000,54500,Diesel
647,Maruti,2012,1000000,200000,Diesel
648,Audi,2013,1510000,27000,Diesel
649,Volvo,2015,1850000,42000,Diesel
650,Toyota,2014,790000,29000,Petrol
651,Mitsubishi,2015,1725000,37000,Diesel
652,Chevrolet,2012,135000,36000,Petrol
653,BMW,2011,1000000,34000,Diesel
654,Datsun,2018,299999,7000,Petrol
655,Mercedes,2009,1225000,76000,Diesel
656,Mahindra,2004,175000,60000,Diesel
657,Volkswagen,2011,200000,95000,Diesel
658,Tata,2017,270000,50000,Diesel
659,Ford,2019,525000,0,Petrol
660,Honda,2006,180000,50000,Petrol
661,Maruti,2008,140000,68000,Petrol
662,Ford,2014,400000,16000,Petrol
663,Maruti,2016,499000,51000,Diesel
664,Maruti,2009,85000,56000,Petrol
665,Maruti,2004,70000,100000,Petrol
666,Renault,2015,550000,36000,Petrol
667,Maruti,2014,370000,11523,Petrol
668,Maruti,2018,690000,1000,Petrol
669,Honda,2009,250000,60000,Petrol
670,Tata,2016,110000,85000,Diesel
671,Renault,2013,490000,38600,Diesel
672,Mahindra,2009,320000,95500,Diesel
673,Maruti,2004,68000,56000,Petrol
674,Maruti,2014,130000,37458,Petrol
675,Maruti,2016,970000,85960,Diesel
676,Audi,2015,3100000,12516,Petrol
677,Hyundai,2018,280000,35000,Petrol
678,Maruti,2009,125000,0,Petrol
679,Mahindra,2008,285000,80000,Diesel
680,Hyundai,2011,165000,45000,Petrol
681,Maruti,2009,250000,51000,Diesel
682,Mahindra,2015,865000,30000,Diesel
683,Mahindra,2011,390000,48000,Diesel
684,Hyundai,2003,60000,51000,Petrol
685,Chevrolet,2015,215000,90000,Diesel
686,Maruti,2015,475000,43000,Diesel
687,Mahindra,2015,899000,53000,Diesel
688,Toyota,2013,1499000,97000,Diesel
689,Maruti,2013,240000,20000,Petrol
690,Hyundai,2007,99000,55000,Petrol
691,Maruti,2014,260000,120000,Diesel
692,Hyundai,2019,1200000,0,Petrol
693,Hyundai,2007,115000,46000,Petrol
694,Hyundai,2009,88000,43200,Petrol
695,Mahindra,2011,390000,56000,Diesel
696,Hyundai,2007,135000,42000,Petrol
697,Tata,2009,90000,30600,Diesel
698,Hyundai,2011,220000,38000,Petrol
699,Hyundai,2017,424999,2550,Petrol
700,Hyundai,2007,135000,47000,Petrol
701,Honda,2005,95000,41000,Petrol
702,Nissan,2017,430000,62500,Diesel
703,Honda,2005,115000,68000,Petrol
704,Maruti,2015,215000,50000,Petrol
705,Maruti,2004,53000,69000,Petrol
706,Maruti,2012,500000,48000,Diesel
707,Tata,2012,85000,55000,Diesel
708,Maruti,2013,165000,25000,Petrol
709,Hyundai,2014,200000,28400,Petrol
710,Hyundai,2014,200000,28000,Petrol
711,Maruti,2015,425000,42000,Diesel
712,Hyundai,2012,600000,29000,Diesel
713,Chevrolet,2005,130000,68485,Diesel
714,Tata,2018,430000,3500,Petrol
715,Tata,2019,568500,0,Petrol
716,Maruti,2006,71000,32000,Petrol
717,Mahindra,2018,560000,8000,Diesel
718,Ford,2014,590000,34000,Diesel
719,Hindustan,1995,750000,37000,Petrol
720,Ford,2007,125000,85455,Diesel
721,Hyundai,2007,135000,46000,Petrol
722,Hyundai,2002,60000,47000,Petrol
723,Fiat,2009,120000,64000,Petrol
724,Ford,2008,95000,46000,Petrol
725,Maruti,2017,240000,8000,Petrol
726,Tata,2012,115000,64000,Diesel
727,Mahindra,2015,795000,63000,Diesel
728,Hyundai,2007,55000,65000,Petrol
729,Mahindra,2009,300000,62000,Diesel
730,Hyundai,2014,320000,41000,Petrol
731,Maruti,2015,265000,14000,Petrol
732,Toyota,2006,160000,40000,Petrol
733,Hyundai,2017,300000,1600,Petrol
734,Tata,2010,130000,90000,Diesel
735,Maruti,2011,250000,58000,Diesel
736,Volkswagen,2013,380000,27000,Petrol
737,Maruti,2003,42000,60000,Petrol
738,Tata,2017,400000,31000,Petrol
739,Maruti,2009,120000,90000,Diesel
740,Maruti,2009,120000,90000,Diesel
741,Tata,2016,130000,150000,Diesel
742,Chevrolet,2014,189000,31000,Diesel
743,Mahindra,2011,365000,43000,Diesel
744,Hyundai,2013,170000,20000,Petrol
745,Tata,2013,215000,100000,Petrol
746,Tata,2013,60000,7000,Petrol
747,Hyundai,2017,599999,31000,Petrol
748,Hyundai,2009,400000,33000,Petrol
749,Hyundai,2016,900000,60000,Diesel
750,Volkswagen,2013,299999,48000,Diesel
751,Maruti,2014,374999,33000,Petrol
752,Tata,2015,600000,15000,Petrol
753,Maruti,2005,70000,47000,Petrol
754,Maruti,2005,100000,40000,Petrol
755,Maruti,2010,150000,38000,Diesel
756,Maruti,2017,225000,12500,Petrol
757,Maruti,2009,210000,42000,Petrol
758,Hyundai,2014,425000,31000,Petrol
759,Maruti,2008,162000,60000,Diesel
760,Tata,2005,60000,80000,Diesel
761,Mahindra,2014,650000,77000,Diesel
762,Toyota,2012,750000,75000,Diesel
763,Mahindra,2010,375000,40000,Diesel
764,Hyundai,2011,230000,47000,Petrol
765,Maruti,2000,35999,60000,Petrol
766,Mahindra,2016,380000,26500,Petrol
767,Mahindra,2019,560000,2875,Petrol
768,Datsun,2016,285000,13900,Petrol
769,Ford,2019,2900000,9000,Diesel
770,Tata,2005,39999,80000,Diesel
771,Hyundai,2006,85000,60000,Petrol
772,Maruti,2016,395000,20000,Petrol
773,Maruti,2008,175000,58000,Diesel
774,Maruti,2019,400000,1500,Petrol
775,Toyota,2011,750000,75000,Diesel
776,Maruti,2016,250000,2450,Petrol
777,Maruti,2019,425000,1625,Petrol
778,Volkswagen,2017,525000,45000,Petrol
779,Mahindra,2009,130000,65000,Diesel
780,Maruti,2000,30000,33400,Petrol
781,Mahindra,2011,475000,60123,Diesel
782,Chevrolet,2013,300000,28000,Petrol
783,Hyundai,2003,60000,70000,Petrol
784,Maruti,2006,100000,7000,Petrol
785,Hyundai,2018,260000,25000,Petrol
786,Tata,2015,100000,100000,Diesel
787,Toyota,2013,265000,42000,Petrol
788,Hyundai,2009,115000,20000,Petrol
789,Toyota,2003,180000,100000,Diesel
790,Hyundai,2004,45000,137495,Petrol
791,Tata,2016,50500,91200,Diesel
792,Honda,2009,270000,55000,Petrol
793,Tata,2017,290000,120000,Diesel
794,Mahindra,2013,325000,63000,Diesel
795,Tata,2016,160000,104000,Diesel
796,Maruti,2016,350000,146000,Diesel
797,Hyundai,2011,290000,40000,Petrol
798,Hyundai,2011,290000,40000,Petrol
799,Chevrolet,2007,465000,100800,Diesel
800,Maruti,2016,325000,150000,Diesel
801,Hyundai,2018,510000,2100,Petrol
802,Honda,2016,860000,95000,Petrol
803,Maruti,2016,450000,2500,Diesel
804,Hyundai,2006,125000,80000,Petrol
805,Mercedes,2006,500001,15000,Petrol
806,Maruti,2005,95000,65000,Petrol
807,Maruti,2009,250000,51000,Diesel
808,Skoda,2009,110000,45000,Petrol
809,Maruti,2011,270000,50000,Petrol
810,Tata,2009,110000,30000,Diesel
811,Toyota,2009,300000,132000,Petrol
812,Tata,2018,260000,27000,Diesel
813,Mahindra,2013,390000,40000,Diesel
